area;oblast
1451200;1451200 
1451400;1451400
1451500;1451500
1461200;1461200
1461300;1461300
1481200;1481200
1481300;1481300
1491400;1491400
1491500;1491500
Česká Lípa;Česká Lípa
Česká Třebová;Česká Třebová
Česká Třebová (1451600);Česká Třebová
Benešov;Benešov
Benešov (1461600);Benešov
Beroun;Beroun
Cheb;Cheb
Cheb (1491400);Cheb
Cheb (1462100);Cheb
Chomutov;Chomutov
Děčín;Děčín
Děčín (1481000);Děčín
Energetika Vítkovice;Energetika Vítkovice
Frýdlant;Frýdlant
Frýdlant (Třinec);Frýdlant
Havlíčkův Brod;Havlíčkův Brod
Havlíčkův Brod (Pardubice);Havlíčkův Brod
Horní Bříza;Horní Bříza
Hradec Králové;Hradec Králové
Hradec Králové (Náchod);Hradec Králové
Jablonec nad Nisou;Jablonec nad Nisou
Jablonec nad Nisou (1481300);Jablonec nad Nisou
Jeseník;Jeseník
Karlovy Vary;Karlovy Vary
Karviná;Karviná
Karviná (1471200);Karviná
Kladno;Kladno
Kladno (Rakovník);Kladno
Klatovy;Klatovy
Klatovy (1462300);Klatovy
Kolín;Kolín
Krnov;Krnov
Liberec;Liberec
Liberec (1481200);Liberec
Mělník;Mělník
Mělník (Mladá Boleslav);Mělník
Mělník (1461300);Mělník
Mladá Boleslav;Mladá Boleslav
Náchod;Náchod
Náchod (1451300);Náchod
Nový Jičín;Nový Jičín
Nový Jičín (1471400);Nový Jičín
Nymburk;Nymburk
Nymburk (Kolín);Nymburk
Olomouc;Olomouc
Opava;Opava
Ostrava;Ostrava
Ostrava (1453400);Ostrava
Příbram;Příbram
Přeštice;Přeštice
Přeštice (1462500);Přeštice
Přerov;Přerov
Pardubice;Pardubice
Plzeň-město;Plzeň-město
Rakovník;Rakovník
Rakovník (Kladno);Rakovník
Rakovník (1461800);Rakovník
Rychnov nad Kněžnou;Rychnov nad Kněžnou
Semily;Semily
Semily (1451100);Semily
Svitavy;Svitavy
Šumperk;Šumperk
Tachov;Tachov
Teplice;Teplice
Teplice (Ústí nad Labem);Teplice
Teplice (Děčín);Teplice
Trutnov;Trutnov
Trutnov (1451200);Trutnov
Třinec;Třinec
Třinec (1472000);Třinec
Ústí nad Labem;Ústí nad Labem
Ústí nad Labem (Žatec);Ústí nad Labem
Ústí nad Labem (1481400);Ústí nad Labem
Valašské Meziříčí;Valašské Meziříčí
Žatec;Žatec
Žatec (1481600);Žatec
noArea;Žádná
null;Nulová
null (1452700);1452700
null (Benešov);Benešov
null (Beroun);Beroun
null (Cheb);Cheb
null (Chomutov);Chomutov
null (Česká Lípa);Česká Lípa
null (Česká Třebová);Česká Třebová
null (Děčín);Děčín
null (Energetika Vítkovice);Energetika Vítkovice
null (Frýdlant);Frýdlant
null (Havlíčkův Brod);Havlíčkův Brod
null (Horní Bříza);Horní Bříza
null (Hradec Králové);Hradec Králové
null (Jablonec nad Nisou);Jablonec nad Nisou
null (Jeseník);Jeseník
null (Karviná);Karviná
null (Karlovy Vary);Karlovy Vary
null (Kladno);Kladno
null (Klatovy);Klatovy
null (Kolín);Kolín
null (Krnov);Krnov
null (Liberec);Liberec
null (Mělník);Mělník
null (Mladá Boleslav);Mladá Boleslav
null (Náchod);Náchod
null (Nový Jičín);Nový Jičín
null (Nymburk);Nymburk
null (Olomouc);Olomouc
null (Opava);Opava
null (Ostrava);Ostrava
null (Pardubice);Pardubice
null (Plzeň-město);Plzeň-město
null (Přerov);Přerov
null (Příbram);Příbram
null (Přeštice);Přeštice
null (Rakovník);Rakovník
null (Rychnov nad Kněžnou);Rychnov nad Kněžnou
null (Semily);Semily
null (Svitavy);Svitavy
null (Šumperk);Šumperk
null (Tachov);Tachov
null (Třinec);Třinec
null (Teplice);Teplice
null (Trutnov);Trutnov
null (Ústí nad Labem);Ústí nad Labem
null (Valašské Meziříčí);Valašské Meziříčí
null (Žatec);Žatec
